budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,8/29/1986,97,3.1,Sean Penn,4339,1986
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,1/31/1986,111,5.7,Richard Gere,2287,1986
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,1/23/1987,105,6.4,Diane Keaton,3079,1986
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,4/18/1986,100,5.9,Charles Bronson,3561,1986
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,9/12/1986,104,5.9,Michael Dudikoff,1808,1986
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,12/25/1986,108,6.9,Blythe Danner,2720,1986
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,11/7/1986,127,5.5,Bryan Brown,1340,1986
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,3/13/1987,101,5.5,Burt Reynolds,1358,1986
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",5/2/1986,97,6.3,Richard Pryor,1288,1986
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,8/29/1986,97,4.3,Mike Norris,1509,1986
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,5/2/1986,83,4.4,Judd Nelson,792,1986
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,12/12/1986,111,5.9,Victor Love,448,1986
18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,10/31/1986,100,4.6,Scott McGinnis,183,1986
1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,10/3/1986,86,4.9,David Carradine,489,1986
16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,10/9/1987,98,8.1,Cary Elwes,320953,1987
1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,9/18/1987,94,7.0,Andrew Robinson,83209,1987
6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,8/21/1987,100,6.9,Patrick Swayze,155978,1987
15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,6/12/1987,107,7.8,Arnold Schwarzenegger,313213,1987
27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,11/13/1987,101,6.6,Arnold Schwarzenegger,120345,1987
22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,6/24/1987,96,7.1,Mel Brooks,146748,1987
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,7/17/1987,102,7.5,Peter Weller,196245,1987
15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,3/6/1987,110,7.6,Mel Gibson,204328,1987
25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,6/3/1987,119,7.9,Kevin Costner,234254,1987
3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,3/13/1987,84,7.8,Bruce Campbell,123325,1987
22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,8/7/1987,106,5.4,Dolph Lundgren,30370,1987
12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,8/14/1987,82,7.2,Andre Gower,21420,1987
14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,9/18/1987,119,6.9,Michael Douglas,60383,1987
15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,12/11/1987,126,7.4,Charlie Sheen,126195,1987
22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,6/12/1987,118,6.5,Jack Nicholson,51642,1987
4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,2/27/1987,96,6.6,Heather Langenkamp,55414,1987
23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,7/17/1987,89,2.9,Lorraine Gary,33419,1987
25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,2/13/1987,93,5.7,Sylvester Stallone,40916,1987
6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,4/17/1987,94,7.4,Nicolas Cage,107669,1987
17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,3/6/1987,113,7.3,Mickey Rourke,67453,1987
6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,2/13/1987,90,5.8,Andrew McCarthy,24626,1987
27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,7/1/1987,120,6.8,Dennis Quaid,45172,1987
15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,1/15/1988,102,7.1,Cher,38600,1987
28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,5/20/1987,100,6.5,Eddie Murphy,90969,1987
23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,4/15/1988,163,7.8,John Lone,76408,1987
13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",1/15/1988,121,7.3,Robin Williams,106924,1987
2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,9/18/1987,140,7.7,James Wilby,11837,1987
11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,11/25/1987,102,5.9,Tom Selleck,39544,1987
3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,10/23/1987,102,6.7,Donald Pleasence,28064,1987
6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,7/24/1987,108,6.8,Lou Diamond Phillips,22839,1987
5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,1988,94,7.0,Adrian Pasdar,27485,1987
15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,8/14/1987,114,7.1,Kevin Costner,28684,1987
20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,12/25/1987,133,7.2,William Hurt,22802,1987
2500000,New Century Entertainment Corporation,Canada,Tibor TakÐ±cs,Fantasy,13539458,TÑnel al infierno,5/15/1987,85,6.0,Stephen Dorff,11435,1987
17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,7/24/1987,90,3.6,Christopher Reeve,35866,1987
3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,5/1/1987,92,6.0,George Kennedy,17500,1987
3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,11/20/1987,95,3.2,Jason Bateman,8905,1987
12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,6/19/1987,107,6.6,Steve Martin,34794,1987
12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,4/10/1987,111,6.5,Michael J. Fox,24685,1987
20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,6/26/1987,106,5.9,Dan Aykroyd,27387,1987
18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,3/27/1987,95,5.9,Kim Basinger,17903,1987
1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,8/22/1987,100,2.7,Anthony Newley,6348,1987
14000000,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,12/11/1987,88,6.2,Danny DeVito,28550,1987
3000000,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,10/16/1987,100,7.3,Mickey Rourke,15647,1987
6000000,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,10/9/1987,97,7.2,Casey Siemaszko,8970,1987
15000000,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,9/18/1987,81,5.2,Molly Ringwald,5348,1987
16000000,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,1/30/1987,88,7.6,Mia Farrow,26467,1987
3000000,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,5/22/1987,92,5.5,Jim Varney,9526,1987
17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,10/9/1987,106,6.1,Tom Berenger,7854,1987
29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,11/6/1987,157,7.5,Denzel Washington,10692,1987
6000000,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,8/28/1987,119,6.5,Michael Caine,7532,1987
27000000,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,2/12/1988,143,6.8,Jack Nicholson,6874,1987
5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,11/6/1987,99,5.3,Charles Bronson,6770,1987
18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,4/17/1987,108,6.1,Matthew Broderick,8879,1987
4000000,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,3/20/1987,87,4.9,David Paul,2538,1987
100000,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617,Hollywood Shuffle,3/20/1987,78,7.0,Robert Townsend,3009,1987
22000000,Carolco Entertainment,USA,Walter Hill,Action,11307844,Extreme Prejudice,4/24/1987,96,6.6,Nick Nolte,4924,1987
350000,Cannon Group,USA,Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,5/1/1987,90,4.8,Michael Dudikoff,6565,1987
4000000,Cinecom Entertainment Group,USA,John Sayles,Drama,1680358,Matewan,6/30/1988,135,7.9,Chris Cooper,6198,1987
24000000,Columbia Pictures,USA,Paul Weiland,Action,4916871,Leonard Part 6,12/18/1987,85,2.2,Bill Cosby,7387,1987
5000000,Golan-Globus Productions,USA,Jerry Schatzberg,Crime,1119112,Street Smart,3/20/1987,97,6.4,Christopher Reeve,2096,1987
9000000,Gladden Entertainment,USA,Michael Cimino,Action,5406879,The Sicilian,10/23/1987,115,5.3,Christopher Lambert,3889,1987
7000000,De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,7019441,Hiding Out,11/6/1987,98,6.4,Jon Cryer,2584,1987
10000000,Orion Pictures,USA,Harley Cokeliss,Action,3060858,Malone,5/1/1987,92,5.6,Burt Reynolds,1959,1987
6000000,"Samuel Goldwyn Company, The",UK,Mike Hodges,Action,1432687,A Prayer for the Dying,9/11/1987,107,6.4,Mickey Rourke,3731,1987
5300000,Columbia Pictures,UK,Michael Radford,Crime,3107551,White Mischief,5/6/1988,107,6.3,Sarah Miles,2171,1987
10000000,Rollins-Joffe Productions,USA,Woody Allen,Drama,486434,September,12/18/1987,83,6.7,Elaine Stritch,7620,1987
3520000,Independent Film Centre,USA,Lance Hool,Action,562187,Steel Dawn,3/31/1988,100,5.0,Patrick Swayze,3860,1987
1300000,Empire Pictures,USA,Renny Harlin,Crime,354704,Prison,12/8/1987,102,5.9,Lane Smith,3019,1987
25000000,Warner Bros.,USA,Martin Ritt,Drama,30950002,Nuts,12/11/1987,116,6.7,Barbra Streisand,4996,1987
11000000,Bandai Films,USA,Barry Levinson,Comedy,25411386,Tin Men,3/13/1987,112,6.5,Richard Dreyfuss,6960,1987
7500000,De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,796368,Rampage,10/30/1992,97,6.3,Michael Biehn,1625,1987
3000000,Vista Organization,USA,Amy Holden Jones,Fantasy,9868521,Maid to Order,7/31/1987,93,5.5,Ally Sheedy,2786,1987
1000000,Commies From Mars Corporation,UK,Alex Cox,Action,210200,Straight to Hell,6/26/1987,100,5.8,Sy Richardson,1924,1987
100000,Silent Night Releasing Corporation,USA,Lee Harry,Horror,154323,"Silent Night, Deadly Night 2",4/10/1987,88,3.5,Eric Freeman,4329,1987
8000000,De Laurentiis Entertainment Group (DEG),USA,Tom McLoughlin,Comedy,1988962,Date with an Angel,11/20/1987,105,5.8,Phoebe Cates,2163,1987
5800000,In-Cine CompaÑÐ½a Industrial CinematogrÐ±fica,USA,Alex Cox,Biography,257043,Walker,12/4/1987,94,6.6,Ed Harris,2684,1987
19000000,TriStar Pictures,USA,Roger Young,Action,2228951,The Squeeze,7/10/1987,101,4.6,Michael Keaton,770,1987
5000000,Golan-Globus Productions,USA,Peter R. Hunt,Action,6075793,Assassination,1/9/1987,88,5.1,Charles Bronson,2255,1987
75000,Titan Productions,USA,David DeCoteau,Horror,13133,Creepozoids,10/2/1987,72,3.5,Linnea Quigley,1447,1987
12000000,TriStar Pictures,USA,Robert Benton,Comedy,5669831,Nadine,8/7/1987,83,5.5,Jeff Bridges,3267,1987
1100000,Conquest Productions,USA,Jeff Burr,Action,1355728,From a Whisper to a Scream,9/4/1987,99,6.0,Vincent Price,1489,1987
5000000,Golan-Globus Productions,USA,Norman Mailer,Comedy,858250,Tough Guys Don't Dance,9/18/1987,110,4.8,Ryan O'Neal,1025,1987
4000000,New World Entertainment Films,USA,Bill Condon,Drama,743445,"Sister, Sister",2/9/1988,91,5.5,Eric Stoltz,695,1987
15000000,Cannon Group,USA,Jerry Belson,Comedy,5711976,Surrender,10/9/1987,105,5.4,Sally Field,692,1987
14000000,Paramount Pictures,USA,Michael Apted,Comedy,20240502,Critical Condition,1/16/1987,100,5.2,Richard Pryor,2453,1987
12000000,De Laurentiis Entertainment Group (DEG),USA,John D. Hancock,Drama,2325444,Weeds,10/16/1987,115,6.0,Nick Nolte,717,1987
15000000,"Geffen Company, The",USA,Tim Burton,Comedy,73707461,Beetlejuice,3/30/1988,92,7.5,Alec Baldwin,206997,1988
9000000,United Artists,USA,Tom Holland,Horror,33244684,Child's Play,11/9/1988,87,6.6,Catherine Hicks,67682,1988
28000000,Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,83008852,Die Hard,7/20/1988,131,8.2,Bruce Willis,647000,1988
3000000,New World Pictures,USA,Michael Lehmann,Comedy,1108462,Heathers,3/31/1989,103,7.3,Winona Ryder,67238,1988
25000000,United Artists,USA,Barry Levinson,Drama,172825435,Rain Man,12/16/1988,133,8.0,Dustin Hoffman,408473,1988
4000000,Alive Films,USA,John Carpenter,Action,13008928,They Live,11/4/1988,94,7.3,Roddy Piper,83379,1988
18000000,American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,114968774,Big,6/3/1988,104,7.3,Tom Hanks,164257,1988
20000000,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753,Cocktail,7/29/1988,104,5.8,Tom Cruise,65825,1988
5000000,Cristaldifilm,Italy,Giuseppe Tornatore,Drama,11990401,Cinema Paradiso,2/23/1990,155,8.5,Philippe Noiret,171600,1988
19000000,TriStar Pictures,USA,Chuck Russell,Horror,8247943,The Blob,8/5/1988,95,6.4,Shawnee Smith,24931,1988
3500000,De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,4385516,Pumpkinhead,1/13/1989,86,6.2,Lance Henriksen,15572,1988
7500000,Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,63493712,A Fish Called Wanda,8/5/1988,108,7.6,John Cleese,114144,1988
2000000,Sarlui / Diamant,USA,Stephen Chiodo,Comedy,15625095,Killer Klowns from Outer Space,5/27/1988,88,6.1,Grant Cramer,25440,1988
3000000,Film Futures,UK,Tony Randel,Horror,11090735,Hellbound: Hellraiser II,12/23/1988,97,6.5,Doug Bradley,33241,1988
15000000,Orion Pictures,USA,Alan Parker,Crime,34603943,Mississippi Burning,1/27/1989,128,7.8,Gene Hackman,70539,1988
12000000,Paramount Pictures,USA,David Zucker,Comedy,78041829,The Naked Gun: From the Files of Police Squad!,12/2/1988,85,7.6,Leslie Nielsen,124515,1988
1100000,Cannon International,USA,Newt Arnold,Action,11806119,Bloodsport,4/29/1988,92,6.8,Jean-Claude Van Damme,63368,1988
28000000,Twentieth Century Fox Film Corporation,USA,Mike Nichols,Comedy,64000000,Working Girl,12/21/1988,113,6.7,Melanie Griffith,44277,1988
14000000,Paramount Pictures,Australia,John Cornell,Action,109305000,Crocodile Dundee II,5/25/1988,108,5.5,Paul Hogan,46738,1988
12500000,Universal Pictures,USA,Don Bluth,Animation,48092846,The Land Before Time,11/18/1988,69,7.4,Pat Hingle,66623,1988
15000000,Universal Pictures,USA,Ivan Reitman,Comedy,111936400,Twins,12/9/1988,107,6.0,Arnold Schwarzenegger,94295,1988
14000000,Lorimar Film Entertainment,USA,Stephen Frears,Drama,34700000,Dangerous Liaisons,2/24/1989,119,7.7,Glenn Close,55823,1988
17000000,The Saul Zaentz Company,USA,Philip Kaufman,Drama,10006806,The Unbearable Lightness of Being,2/5/1988,171,7.4,Daniel Day-Lewis,28868,1988
5000000,Trancas International Films,USA,Dwight H. Little,Horror,17768757,Halloween 4: The Return of Michael Myers,10/21/1988,88,5.9,Donald Pleasence,32498,1988
13000000,Morgan Creek Productions,USA,Christopher Cain,Action,45661556,Young Guns,8/12/1988,107,6.8,Emilio Estevez,45768,1988
29000000,Carolco Pictures,USA,Walter Hill,Action,34994648,Red Heat,6/17/1988,104,6.0,Arnold Schwarzenegger,53769,1988
6000000,Night Life Inc.,USA,Donald Petrie,Comedy,12793213,Mystic Pizza,10/21/1988,104,6.2,Annabeth Gish,20071,1988
6000000,Paramount Pictures,Canada,Jonathan Kaplan,Drama,32069318,Acusados,10/14/1988,111,7.1,Kelly McGillis,26126,1988
7000000,Universal Pictures,Canada,Martin Scorsese,Drama,7630564,The Last Temptation of Christ,3/12/2004,164,7.6,Willem Dafoe,42782,1988
2000000,New Line Cinema,USA,John Waters,Comedy,6671108,Hairspray,2/26/1988,92,7.0,Sonny Bono,17169,1988
13000000,New Line Cinema,USA,Renny Harlin,Horror,49369899,A Nightmare on Elm Street 4: The Dream Master,8/19/1988,93,5.7,Robert Englund,39701,1988
24000000,Hughes Entertainment,USA,Howard Deutch,Comedy,41455230,The Great Outdoors,6/17/1988,91,6.6,Dan Aykroyd,31340,1988
7000000,The Mount Company,USA,Ron Shelton,Comedy,50888729,Bull Durham,6/15/1988,108,7.1,Kevin Costner,39369,1988
7500000,Warner Bros.,USA,Andrew Davis,Action,18869631,Above the Law,4/22/1988,99,6.0,Steven Seagal,24061,1988
10000000,De Laurentiis Entertainment Group (DEG),UK,Julien Temple,Comedy,3916303,Earth Girls Are Easy,5/12/1989,100,5.2,Geena Davis,17315,1988
7500000,NBC Productions,USA,James Signorelli,Comedy,5596267,Elvira: Mistress of the Dark,9/30/1988,96,6.4,Cassandra Peterson,9751,1988
23000000,Cinema City Films,USA,Robert Towne,Crime,41292551,Tequila Sunrise,12/2/1988,115,6.0,Mel Gibson,24708,1988
20000000,Warner Bros.,USA,Roman Polanski,Crime,17637950,Frantic,2/26/1988,120,6.9,Harrison Ford,41608,1988
2800000,Paramount Pictures,USA,John Carl Buechler,Horror,19170001,Friday the 13th Part VII: The New Blood,5/13/1988,88,5.3,Jennifer Banko,23959,1988
8000000,Twentieth Century Fox Film Corporation,USA,Greg Beeman,Comedy,22433275,License to Drive,7/6/1988,88,6.3,Corey Haim,14929,1988
13000000,Morgan Creek Productions,Canada,David Cronenberg,Drama,9134733,Dead Ringers,9/23/1988,116,7.3,Jeremy Irons,32130,1988
10500000,Metro-Goldwyn-Mayer (MGM),USA,Gary Sherman,Horror,14114488,Poltergeist III,6/10/1988,98,4.6,Heather O'Rourke,14165,1988
7500000,Vista Organization,USA,Tommy Lee Wallace,Comedy,2983784,Fright Night Part 2,5/19/1989,104,5.9,William Ragsdale,9005,1988
3000000,Front Films,USA,Keenen Ivory Wayans,Action,13030057,I'm Gonna Git You Sucka,2/23/1989,88,6.6,Keenen Ivory Wayans,10455,1988
22000000,Zacharias-Buhai Productions,USA,Bud S. Smith,Comedy,17550399,Johnny Be Good,3/25/1988,91,4.5,Anthony Michael Hall,5006,1988
1100000,Shapiro-Glickenhaus Entertainment,USA,William Lustig,Action,671382,Maniac Cop,5/13/1988,85,6.0,Tom Atkins,10850,1988
10000000,Orion Pictures,USA,Jonathan Demme,Comedy,21486757,Married to the Mob,8/19/1988,104,6.1,Michelle Pfeiffer,13416,1988
6000000,Orion Pictures,USA,Dennis Hopper,Action,46616067,Colors,4/29/1988,120,6.7,Sean Penn,20490,1988
17000000,Vision PDG,Ireland,Neil Jordan,Comedy,8578231,El Hotel de los Fantasmas,11/18/1988,99,5.7,Peter O'Toole,6979,1988
3000000,Double Play,USA,Sidney Lumet,Crime,2835116,Running on Empty,9/9/1988,116,7.7,River Phoenix,11312,1988
1200000,Blue Rider Pictures,USA,Kevin Tenney,Comedy,3109904,Night of the Demons,10/14/1988,90,6.3,Cathy Podewell,9897,1988
13000000,Mac and Me Joint Venture,USA,Stewart Raffill,Adventure,6424112,Mac and Me,8/12/1988,95,3.4,Christine Ebersole,8043,1988
4500000,New Line Cinema,USA,Mick Garris,Comedy,3813293,Critters 2,4/29/1988,86,5.3,Scott Grimes,11122,1988
20000000,Weintraub Entertainment Group,USA,Richard Benjamin,Comedy,13854000,My Stepmother Is an Alien,12/9/1988,105,5.2,Dan Aykroyd,22281,1988
6200000,Lorimar Film Entertainment,USA,Ken Wiederhorn,Comedy,9205924,Return of the Living Dead II,1/15/1988,89,5.8,James Karen,14998,1988
22000000,Universal Pictures,USA,Michael Apted,Biography,24720479,Gorillas in the Mist,10/7/1988,129,7.0,Sigourney Weaver,20378,1988
2000000,Magellan Pictures,USA,Robert Bierman,Comedy,725131,Vampire's Kiss,6/2/1989,103,5.9,Nicolas Cage,10474,1988
2500000,White Lair,UK,Ken Russell,Comedy,1189315,The Lair of the White Worm,10/21/1988,93,5.9,Amanda Donohoe,7908,1988
7000000,Universal Pictures,USA,Wes Craven,Fantasy,19595031,The Serpent and the Rainbow,2/5/1988,98,6.5,Bill Pullman,18528,1988
5000000,Columbia Pictures Corporation,Sweden,Ken Annakin,Family,3569939,Las travesuras de una pelirojja,7/29/1988,100,5.9,Tami Erin,3474,1988
6000000,Orion Pictures,USA,John Sayles,Drama,5680515,Eight Men Out,9/2/1988,119,7.3,John Cusack,15946,1988
4700000,New Sky Communications Inc.,USA,Frank LaLoggia,Fantasy,1705139,Lady in White,4/22/1988,113,6.7,Lukas Haas,5135,1988
700000,Laurenfilm,Spain,Pedro AlmodÑvar,Comedy,7179298,Women on the Verge of a Nervous Breakdown,11/11/1988,88,7.6,Carmen Maura,27755,1988
3000000,Spacegate Productions,USA,Don Coscarelli,Action,7282851,Phantasm II,7/8/1988,97,6.5,James Le Gros,10789,1988
25000000,United Artists,Japan,James Bridges,Drama,16118077,Luces de una gran ciudad,4/1/1988,107,5.6,Michael J. Fox,6165,1988
7000000,Orion Pictures,USA,George A. Romero,Drama,5344577,Monkey Shines,7/29/1988,113,6.2,Jason Beghe,8595,1988
19000000,Cornelius Productions,USA,George Roy Hill,Comedy,25537221,Funny Farm,6/3/1988,101,6.1,Chevy Chase,16321,1988
16000000,American Entertainment Partners II L.P.,USA,Graham Baker,Action,25216243,Alien Nation,10/7/1988,91,6.3,James Caan,12143,1988
7000000,Lorimar Film Entertainment,USA,Craig R. Baxley,Action,20257000,Action Jackson,2/12/1988,96,5.2,Carl Weathers,8065,1988
22000000,Esparza,USA,Robert Redford,Comedy,13825794,The Milagro Beanfield War,3/18/1988,117,6.9,RubÐ¹n Blades,5289,1988
23000000,Lucasfilm,USA,Francis Ford Coppola,Biography,19652638,Tucker: The Man and His Dream,8/12/1988,110,6.9,Jeff Bridges,12469,1988
6500000,Columbia Pictures Corporation,USA,Spike Lee,Comedy,14545844,School Daze,2/12/1988,121,5.8,Laurence Fishburne,5042,1988
3700000,Hemdale,USA,Steve De Jarnatt,Action,1145404,Miracle Mile,5/19/1989,87,7.0,Anthony Edwards,6985,1988
17500000,Zanuck/Brown Productions,USA,Daniel Petrie,Adventure,18924919,Cocoon: The Return,11/23/1988,116,5.3,Don Ameche,12956,1988
4000000,Producers Representative Organization,UK,Martin Donovan,Drama,670774,Apartment Zero,9/15/1989,124,6.9,Hart Bochner,3259,1988
10000000,Jack Rollins & Charles H. Joffe Productions,USA,Woody Allen,Drama,1562749,Another Woman,11/18/1988,81,7.4,Gena Rowlands,10826,1988
9000000,"Malpaso Company, The",USA,Clint Eastwood,Biography,2181286,Bird,9/30/1988,161,7.2,Forest Whitaker,9685,1988
15000000,Cannon Entertainment,Australia,Fred Schepisi,Drama,6908797,A Cry in the Dark,11/11/1988,120,6.9,Meryl Streep,7622,1988
20000000,Rastar Pictures,USA,Mike Nichols,Comedy,43184798,Biloxi Blues,3/25/1988,106,6.6,Matthew Broderick,12590,1988
4000000,Cineplex-Odeon Films,USA,Oliver Stone,Drama,3468572,Talk Radio,1/13/1989,110,7.3,Eric Bogosian,10745,1988
20000000,"Guber-Peters Company, The",USA,Allan Arkush,Comedy,11798302,Caddyshack II,7/22/1988,98,3.7,Jackie Mason,12956,1988
18000000,Imagine Entertainment,USA,Ken Kwapis,Adventure,1883811,Vibes,8/5/1988,99,5.5,Cyndi Lauper,2850,1988
19000000,United Artists,USA,Costa-Gavras,Drama,25816139,Betrayed,8/26/1988,127,6.3,Debra Winger,4580,1988
16000000,Abramoff Production,South Africa,Joseph Zito,Action,4192440,Escorpion rojo,4/21/1989,105,5.0,Dolph Lundgren,6925,1988
6000000,Aspen Film Society,USA,Paul Golding,Horror,40397,Pulse,3/4/1988,95,5.5,Cliff De Young,1781,1988
14000000,Weintraub Entertainment Group,USA,David Anspaugh,Drama,6640346,Fresh Horses,11/18/1988,105,5.0,Molly Ringwald,1439,1988
5000000,Helpern / Meltzer,USA,Mark Goldblatt,Action,3588626,Dead Heat,6/29/1988,86,6.0,Treat Williams,5127,1988
210000,Miracle Pictures,USA,Jim Wynorski,Comedy,107352,Not of This Earth,5/20/1988,81,4.5,Traci Lords,1724,1988
15000000,Columbia Pictures Corporation,USA,Richard Benjamin,Drama,1733070,Little Nikita,3/18/1988,98,6.0,Sidney Poitier,4132,1988
15000000,Columbia Pictures Corporation,USA,David Seltzer,Comedy,21032267,Punchline,10/7/1988,128,5.8,Sally Field,6938,1988
8000000,Hemdale,USA,Harold Becker,Drama,784990,The Boost,12/23/1988,95,6.1,James Woods,1629,1988
20000000,Universal Pictures,USA,Paul Mazursky,Comedy,11444204,Moon Over Parador,9/9/1988,103,5.9,Richard Dreyfuss,4778,1988
6000000,Touchstone Pictures,USA,John R. Cherry III,Comedy,28202109,Ernest Saves Christmas,11/11/1988,95,5.6,Jim Varney,8513,1988
3000000,Atlantic Entertainment Group,USA,James B. Harris,Crime,1884315,Cop,3/11/1988,110,6.4,James Woods,3419,1988
4000000,Warner Bros.,USA,Joan Micklin Silver,Comedy,16262415,Crossing Delancey,9/16/1988,97,6.9,Amy Irving,2935,1988
6000000,Shapiro-Glickenhaus Entertainment,USA,James Glickenhaus,Action,10068039,Shakedown,5/6/1988,93,5.9,Peter Weller,2087,1988
19000000,Orion Pictures,USA,Michael Ritchie,Comedy,11005304,The Couch Trip,1/15/1988,97,5.7,Dan Aykroyd,3961,1988
8000000,Paramount Pictures,USA,Marisa Silver,Drama,1893139,Permanent Record,4/22/1988,91,6.4,Alan Boyce,1550,1988
6000000,TriStar Pictures,Canada,Pen Densham,Drama,1869148,The Kiss,10/14/1988,101,5.5,Joanna Pacula,1258,1988
